node_id,x,y,degree,is_leaf,component_id
278,169497.20827,2543983.97115,2,False,0
279,169496.82782,2543978.07588,3,False,0
280,169493.04235,2543935.70483,4,False,0
281,169492.71755,2543927.17279,3,False,0
282,169473.64688,2543936.1556,3,False,0
283,169466.39312,2543910.66247,3,False,0
284,169458.57859,2543891.20841,2,False,0
285,169323.58069,2543830.79739,2,False,1
286,169332.76177,2543815.55932,2,False,1
287,169328.71638,2543766.61226,2,False,1
288,169327.17803,2543747.90302,3,False,1
289,169320.45254,2543801.37013,1,True,1
290,169318.38721,2543779.89061,3,False,1
291,169293.85466,2543780.99177,1,True,1
292,169311.29125,2543759.73073,3,False,1
293,169315.7838,2543748.98823,3,False,1
294,169311.15994,2543694.88234,1,True,1
295,169298.88919,2543740.03019,3,False,1
296,169277.12344,2543741.92445,1,True,1
297,169265.95037,2543688.82321,3,False,1
298,169245.14818,2543691.11181,1,True,1
299,169321.70439,2543681.33345,2,False,1
300,169479.96056,2543653.84689,1,True,0
301,169567.8014,2543638.83047,1,True,0
302,169583.6209,2543663.15986,2,False,0
303,169679.29535,2543652.44174,2,False,0
304,169691.46117,2543651.27137,4,False,0
305,169711.66357,2543649.84144,3,False,0
306,169686.64661,2543629.43906,1,True,0
307,169722.04292,2543627.71527,1,True,0
308,169719.60837,2543648.96741,2,False,0
309,169668.23398,2543697.45996,4,False,0
310,169697.43956,2543688.90157,1,True,0
311,169676.75293,2543740.71898,3,False,0
312,169716.34821,2543730.16615,1,True,0
313,169638.27378,2543716.84856,3,False,0
314,169647.8647,2543747.82142,4,False,0
315,169579.53609,2543733.64417,3,False,0
316,169570.99005,2543715.75405,1,True,0
317,169575.04188,2543775.4883,4,False,0
318,169618.63476,2543752.79507,1,True,0
319,169577.65052,2543807.46784,4,False,0
320,169508.71034,2543867.83081,3,False,0
321,169536.06201,2543865.543,4,False,0
322,169540.42543,2543921.75027,1,True,0
323,169533.77624,2543835.46507,4,False,0
324,169576.30452,2543831.9765,3,False,0
325,169578.06985,2543863.72541,2,False,0
326,169764.55894,2544743.89946,2,False,0
327,169746.93734,2544750.77761,4,False,0
328,169740.45668,2544698.25292,3,False,0
329,169772.53319,2544702.00732,2,False,0
330,169604.73417,2544697.71762,4,False,0
331,169652.30969,2544691.00027,2,False,0
332,169712.54235,2544680.98398,2,False,0
333,169605.98853,2544705.35418,3,False,0
334,169613.13245,2544748.84659,2,False,0
335,169637.64701,2544744.67617,2,False,0
336,169639.9626,2544761.02674,2,False,0
337,169669.45144,2544756.11004,2,False,0
338,169553.33087,2544715.53471,3,False,0
339,169576.16406,2544701.27238,3,False,0
340,169575.0976,2544667.61197,1,True,0
341,169549.51512,2544706.87912,2,False,0
342,169581.85204,2544878.38726,1,True,0
343,170362.38087,2544672.90789,1,True,2
344,170298.85467,2544677.97948,1,True,2
345,170260.57512,2544674.04864,4,False,0
346,170263.75222,2544717.03899,1,True,0
347,170233.60752,2544675.55869,3,False,0
348,170182.88371,2544678.39897,4,False,0
349,170187.05021,2544728.61241,2,False,0
350,170149.65656,2544674.08567,2,False,0
351,170152.32653,2544702.70416,1,True,0
352,170174.87067,2544622.1257,3,False,0
353,170229.19554,2544617.39075,3,False,0
354,170255.20775,2544615.41644,2,False,0
355,170113.884,2544629.22829,4,False,0
356,170044.62568,2544635.56826,1,True,0
357,169944.86593,2544759.13487,2,False,0
358,169935.69456,2544715.9369,3,False,0
359,169932.67889,2544658.90648,3,False,0
360,169934.94173,2544688.30526,1,True,0
361,169939.27406,2544659.23557,4,False,0
362,169733.05505,2544559.66455,4,False,0
363,169812.86102,2544545.70119,2,False,0
364,169796.32761,2544465.9375,3,False,0
365,169836.0762,2544291.64395,2,False,0
366,169822.14789,2544192.34761,2,False,0
367,169711.20753,2544566.95771,4,False,0
368,169586.41078,2544587.54527,2,False,0
369,169718.41534,2544480.98315,4,False,0
370,169569.60164,2544503.45152,4,False,0
371,169490.87971,2544517.33916,1,True,0
372,169569.8339,2544450.403,3,False,0
373,169581.31463,2544384.14067,3,False,0
374,169641.47744,2544372.91238,3,False,0
375,169705.9933,2544412.09071,3,False,0
376,170281.23154,2544309.45647,4,False,0
377,170341.5537,2544304.31066,1,True,0
378,170293.2134,2544497.76905,1,True,0
379,170260.06745,2544094.39624,1,True,0
380,169945.79911,2544426.86562,2,False,0
381,169938.09775,2544329.66792,5,False,0
382,169865.66404,2544139.99833,1,True,0
383,170056.2348,2544142.36025,3,False,0
384,170200.85877,2544145.04013,2,False,0
385,170204.56936,2543590.31446,2,False,0
386,169873.97496,2543578.61087,1,True,0
387,170209.41542,2543655.4034,2,False,0
388,170212.23697,2543687.44263,2,False,0
389,170066.6052,2543666.52361,3,False,0
390,170038.68992,2543668.84999,3,False,0
391,170042.72875,2543726.11342,3,False,0
392,170152.20348,2543717.63659,1,True,0
393,170043.70781,2543785.79772,1,True,0
394,170133.93824,2543699.63688,2,False,0
395,170182.24594,2543693.46233,3,False,0
396,170180.3584,2543799.15272,4,False,0
397,170250.75153,2544033.27179,1,True,0
398,170245.73851,2543954.75886,4,False,0
399,170240.68049,2543878.69432,1,True,0
400,170310.87002,2543949.59192,1,True,0
401,170095.48553,2543928.623,1,True,0
402,170136.23343,2543803.67051,2,False,0
403,170043.55703,2543785.79523,3,False,0
404,170064.8321,2543784.56839,3,False,0
405,170062.07063,2543756.73995,2,False,0
406,170165.50853,2543773.93575,1,True,0
407,170101.49466,2543753.83273,1,True,0
408,169876.17517,2543806.85493,2,False,0
409,169903.3708,2543823.67985,3,False,0
410,170038.8371,2543811.72881,3,False,0
411,170043.58226,2543906.95053,3,False,0
412,169911.53292,2543947.25622,3,False,0
413,169944.90025,2543944.83253,3,False,0
414,169961.79232,2543912.05099,2,False,0
415,170282.58579,2543866.21693,1,True,0
416,170268.13269,2543801.68513,1,True,0
417,170170.32667,2543955.50617,3,False,0
418,169532.38167,2543811.08152,3,False,0
419,169519.01952,2543791.32463,3,False,0
420,169746.66489,2543992.21176,3,False,0
421,169739.24084,2543921.33648,2,False,0
422,169774.70754,2543868.93302,1,True,0
423,169705.31122,2543998.22664,3,False,0
424,169702.0451,2543968.21967,2,False,0
425,169658.25215,2543974.63008,3,False,0
426,169634.62475,2543976.81517,3,False,0
427,169631.90822,2543952.81013,1,True,0
428,169607.89709,2543980.04629,1,True,0
429,169662.03598,2544004.63426,3,False,0
430,169611.02649,2544011.3407,3,False,0
431,169595.16816,2544014.34216,3,False,0
432,169517.42554,2544078.39301,2,False,0
433,169394.98173,2544008.00069,1,True,0
434,169394.48067,2543983.06813,1,True,0
435,169597.13037,2543945.27737,1,True,0
436,169442.48316,2543834.71468,1,True,0
437,169969.14559,2544656.40511,1,True,0
438,170252.0127,2544834.71041,2,False,0
439,169839.52205,2544904.09397,2,False,0
440,169606.63242,2544943.23161,2,False,0
