id,isw,is,WIEH,wPSQ,wSE,wSW,wCRw,wEoS,wEoO,wEoP,wETV,wEuF,wSLQ,wDIS,wSLP,wSTR,wCTV,shdwd12,shdwd17,dynwd12,dynwd17,tempwd12,tempwd17,humwd12,humwd17,shdwd21,shdwd08,shdwd05,shdwe05,shdwe08,shdwe12,shdwe17,shdwe21,lgtwd05,lgtwd08,lgtwd12,lgtwd17,lgtwd21,lgtwe05,lgtwe08,lgtwe12,lgtwe17,lgtwe21,aqiwd05,aqiwd08,aqiwd12,aqiwd17,aqiwd21,aqiwe05,aqiwe08,aqiwe12,aqiwe17,aqiwe21,tempwd05,humwd05,tempwd08,humwd08,temwd12,huwd12,temwd17,huwd17,temwd21,huwd21,tempwe05,humwe05,termpwe08,humwe08,tempwe12,humwe12,tempwe17,humwe17,tempwe21,humwe21,trfwd05,trfwd08,trfwd12,trfwd17,trfwd21,trfwe05,trfwe08,trfwe12,trfwe17,trfwe21,dynwd05,dynwd08,dynwd21,dynwe08,dynwe05,dynwe12,dynwe17,dynwe21,cdynwd05,cdynwd08,cdynwd12,cdynwd17,cdynwd21,cdynwe05,cdynwe08,cdynwe12,cdynwe17,cdynwe21,cWIEH,urbantype,length,segment_id,part_idx,source_node,target_node,segment_length,component_id
21,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,2,1,3,1.602,1.677,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,2,2,3,1,3,2,1,3,1.677,1.577,1.677,1.627,1.677,1.552,1.502,1.677,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,20.428,21:0,0,16,17,20.428,0
22,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,2,1,3,1.602,1.677,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,2,2,3,1,3,2,1,3,1.677,1.577,1.677,1.627,1.677,1.552,1.502,1.677,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,campus,26.431,22:0,0,11,17,26.431,0
23,2.16,1.5,1.44,3,3.0,3.0,3,3,1,1.0,1,1,3,3,2,1,2,1,3,1.658,1.733,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,2,2,3,1,3,2,1,3,1.733,1.633,1.733,1.683,1.733,1.608,1.558,1.733,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,34.066,23:0,0,11,16,34.066,0
24,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,2,1,3,1.602,1.677,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,2,2,3,1,3,2,1,3,1.677,1.577,1.677,1.627,1.677,1.552,1.502,1.677,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,33.331,24:0,0,15,17,33.331,0
25,2.02,2.0,1.01,3,2.5,2.5,2,2,2,1.5,1,2,3,1,2,2,3,3,3,1.457,1.532,3.0,3.0,2.0,3.0,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,3,3,3,3,2,1,3,1.432,1.532,1.432,1.482,1.432,1.407,1.257,1.432,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,21.64,25:0,0,16,18,21.64,0
26,1.8,2.0,0.9,3,1.0,3.0,2,3,1,1.0,1,1,3,1,2,2,3,1,3,1.28,1.255,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,3,3,3,2,1,3,1.355,1.155,1.355,1.305,1.355,1.23,1.18,1.355,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,11.428,26:0,0,18,19,11.428,0
27,1.79,1.5,1.193,3,1.5,1.0,2,2,1,3.0,1,1,2,1,2,1,3,1,3,1.485,1.41,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,3,3,3,2,2,1,1.31,1.36,1.31,1.51,1.31,1.435,1.435,1.31,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,84.941,27:0,0,19,20,84.941,0
28,1.98,2.0,0.99,3,2.5,2.5,2,1,2,3.0,1,1,2,1,1,3,3,3,3,1.543,1.468,3.0,3.0,2.0,3.0,3,3,3,3,3,3,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,3,3,3,3,3,2,3,3,1.368,1.418,1.368,1.468,1.368,1.393,1.393,1.368,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,93.669,28:0,0,19,21,93.669,0
29,3.0,1.0,3.0,3,3.0,3.0,3,3,3,3.0,3,3,2,3,1,1,3,2,3,2.9,2.875,3.0,3.0,2.0,3.0,3,2,3,3,2,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,3,3,3,3,3,2,3,3,2.775,2.775,2.775,2.825,2.775,2.75,2.8,2.775,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,Less age-friendly,campus,126.577,29:0,0,17,22,126.577,0
30,2.16,1.5,1.44,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,3,1,3,1.758,1.833,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,2,3,3,3,3,3,2,3,3,1.733,1.633,1.733,1.683,1.733,1.608,1.758,1.733,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,20.408,30:0,0,22,21,20.408,0
31,2.16,1.5,1.44,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,3,3,3,1.858,1.733,3.0,3.0,2.0,3.0,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,2,3,3,1.733,1.833,1.733,1.783,1.733,1.708,1.758,1.733,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,campus,21.494,31:0,0,22,23,21.494,0
32,2.16,1.5,1.44,3,1.0,3.0,3,3,1,1.0,1,1,3,3,2,1,3,2,3,1.808,1.733,3.0,3.0,2.0,3.0,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,2,3,3,1.733,1.783,1.733,1.733,1.733,1.658,1.758,1.733,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,30.368,32:0,0,21,23,30.368,0
