step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-28489.97623184174,-47543.09217905271,-47543.785729970245,42
18,1.359322033898305,2.145762711864407,0.7107608781225873,-28615.96802661941,-47543.09217905271,-47543.785729970245,42
19,1.423728813559322,2.0983050847457627,0.67032489817025,-28661.143671068545,-47543.09217905271,-47543.785729970245,42
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-28663.729103237096,-47543.09217905271,-47543.785729970245,42
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-28664.305301256813,-47543.785729970245,-47543.785729970245,43
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-28666.82795086532,-47543.785729970245,-47543.785729970245,43
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-28667.907468705216,-47543.785729970245,-47543.785729970245,43
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-28670.793903530644,-47543.785729970245,-47543.785729970245,43
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-28676.839779352955,-47543.785729970245,-47543.785729970245,43
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-28676.639174162567,-47543.09217905271,-47543.785729970245,42
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-28678.305627540372,-47543.09217905271,-47543.785729970245,42
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-28681.017558026113,-47543.09217905271,-47543.785729970245,42
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-28681.972666544156,-47543.09217905271,-47543.785729970245,42
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-28729.42278755595,-47543.09217905271,-47543.785729970245,42
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-28773.43116473261,-47543.785729970245,-47543.785729970245,43
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-28775.073724083126,-47543.785729970245,-47543.785729970245,43
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-28777.721640712007,-47543.09217905271,-47543.785729970245,42
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-28865.7907164794,-47543.785729970245,-47543.785729970245,43
35,2.454237288135593,1.3389830508474578,0.3697582006284919,-28866.040209766452,-47543.785729970245,-47543.785729970245,43
36,2.51864406779661,1.2915254237288138,0.36228844801186894,-28868.744001052204,-47543.785729970245,-47543.785729970245,43
37,2.5830508474576273,1.2440677966101696,0.3555734401923073,-28871.7178114453,-47543.09217905271,-47543.785729970245,42
38,2.6474576271186443,1.1966101694915257,0.3495720814260328,-28875.09886770548,-47543.785729970245,-47543.785729970245,43
39,2.711864406779661,1.1491525423728817,0.3442499962607039,-28876.92545058129,-47543.785729970245,-47543.785729970245,43
40,2.776271186440678,1.1016949152542375,0.33957909898246735,-28880.09050686428,-47543.09217905271,-47543.785729970245,42
41,2.840677966101695,1.0542372881355935,0.33553730962617,-28880.00995046997,-47543.09217905271,-47543.785729970245,42
42,2.905084745762712,1.0067796610169495,0.33210841582605516,-28881.147905385955,-47543.09217905271,-47543.785729970245,42
43,2.969491525423729,0.9593220338983053,0.3292820874796708,-28880.765683629677,-47543.785729970245,-47543.785729970245,43
44,3.0338983050847457,0.9118644067796611,0.3270540603852206,-28882.91675856109,-47543.785729970245,-47543.785729970245,43
45,3.0983050847457627,0.8644067796610173,0.32542651678937634,-28882.400846327524,-47543.785729970245,-47543.785729970245,43
46,3.1627118644067798,0.8169491525423731,0.3244087067781581,-28883.145044283887,-47543.09217905271,-47543.785729970245,42
47,3.227118644067797,0.7694915254237289,0.32401787719585073,-28883.40247589521,-47543.09217905271,-47543.785729970245,42
48,3.291525423728814,0.7220338983050851,0.3242806083913215,-28882.318454706798,-47543.785729970245,-47543.785729970245,43
49,3.3559322033898304,0.6745762711864409,0.32523471043442614,-28883.560766640458,-47543.785729970245,-47543.785729970245,43
50,3.4203389830508475,0.6271186440677967,0.32693191138885197,-28883.16808965903,-47543.785729970245,-47543.785729970245,43
51,3.4847457627118645,0.579661016949153,0.3294417020198396,-28883.119717434365,-47543.785729970245,-47543.785729970245,43
52,3.5491525423728816,0.5322033898305087,0.33285692346539725,-28883.087363450493,-47543.09217905271,-47543.785729970245,42
53,3.613559322033898,0.48474576271186454,0.3373020736014899,-28883.49608227308,-47543.09217905271,-47543.785729970245,42
54,3.6779661016949152,0.4372881355932208,0.3429460204917691,-28883.600153707364,-47543.785729970245,-47543.785729970245,43
